cod_estado,estado,regiao,total_familias
17                                                                                                  ,Tocantin,Norte,171699
11                                                                                                  ,Rondônia,Norte,52887
53                                                                                                  ,Distrito,Centr,307021
21                                                                                                  ,Maranhão,Norde,1701115
16                                                                                                  ,Amapá   ,Norte,178521
41                                                                                                  ,Paraná  ,Sul  ,791620
32                                                                                                  ,Espírito,Sudes,437786
14                                                                                                  ,Roraima ,Norte,102911
25                                                                                                  ,Paraíba ,Norde,1334928
51                                                                                                  ,Mato Gro,Centr,230342
52                                                                                                  ,Goiás   ,Centr,369086
35                                                                                                  ,São Paul,Sudes,3917735
26                                                                                                  ,Pernambu,Norde,2414908
43                                                                                                  ,Rio Gran,Sul  ,955931
50                                                                                                  ,Mato Gro,Centr,276979
24                                                                                                  ,Rio Gran,Norde,779271
42                                                                                                  ,Santa Ca,Sul  ,326996
12                                                                                                  ,Acre    ,Norte,290025
27                                                                                                  ,Alagoas ,Norde,787753
15                                                                                                  ,Pará    ,Norte,1491770
29                                                                                                  ,Bahia   ,Norde,3674284
23                                                                                                  ,Ceará   ,Norde,2246940
22                                                                                                  ,Piauí   ,Norde,1244731
31                                                                                                  ,Minas Ge,Sudes,2609315
28                                                                                                  ,Sergipe ,Norde,359545
13                                                                                                  ,Amazonas,Norte,720789
33                                                                                                  ,Rio de J,Sudes,2961716
